Nutrient code;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;7;2;false;true;false;;;;
ALC;Alcohol (ethanol);77;1;false;true;false;;;;
CARTA;Alpha-Carot;78;1;false;true;false;;;;
ASH;Ash;79;1;false;true;false;;;;
CARTB;Beta-caroten;80;1;false;true;false;;;;
CRYPX;Beta-Crypt;81;1;false;true;false;;;;
CAFFN;Caffein;82;1;false;true;false;;;;
CA;Calcium, Ca;54;1;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;4;1;true;false;true;;;;
CHO-;Carbohydrate, by difference (with fiber);5;1;false;true;false;;;;
CHOL-;Cholesterol;33;1;false;true;false;;;;
CHOLN;CholineTot;55;1;false;true;false;;;;
CR;Chromium;56;1;false;true;false;;;;
CU;Copper;57;1;false;true;false;;;;
US_ENER-E14;Energy kcal;1;1;true;false;true;;;;
F10D0;FA 10:0, capric;18;2;false;true;false;;;;
F12D0;FA 12:0, lauric;19;2;false;true;false;;;;
F14D0;FA 14:0 , myristic;20;2;false;true;false;;;;
F16D0;FA 16:0, palmitic;21;2;false;true;false;;;;
F18D0;FA 18:0, stearic;22;2;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;23;2;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;24;2;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;25;2;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;26;2;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;27;2;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;28;2;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;29;2;false;true;false;;;;
F4D0;FA 4:0, butyric;30;2;false;true;false;;;;
F6D0;FA 6:0, caproic;31;2;false;true;false;;;;
F8D0;FA 8:0, caprylic;32;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;16;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;17;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;13;2;true;false;false;;;;
FIBTG;Fiber, total dietary;8;2;false;true;false;;;;
FOLDFE;Folate DFE;58;1;false;true;false;;;;
FOLFD;Folate natural;59;1;false;true;false;;;;
FOLAC;Folic acid;60;1;false;true;false;200;;mcg;
FOL;Food folate;61;1;false;true;false;;;;
FIBINS;Insoluble fiber;9;1;false;true;false;;;;
ID;Iodine;62;1;false;true;false;150;;mcg;
FE;Iron, Fe;63;1;false;true;false;14;;mg;
LYCPN;Lycopene;64;1;false;true;false;;;;
MG;Magnesium, Mg;65;1;false;true;false;300;;mg;
MN;Manganese;66;1;false;true;false;;;;
NIA;Niacin;51;1;false;true;false;18;;mg;
NIAEQ;Niacine (derived equivalents);52;1;false;true;false;;;;
PSACNS;NSP Fiber;10;1;false;true;false;;;;
OA;Organic acids, total;83;1;false;true;false;;;;
PANTAC;Panto acid;67;1;false;true;false;;;;
P;Phosphorus, P;68;1;false;true;false;;;;
POLYL;Polyols total;69;1;false;true;false;;;;
K;Potassium, k;70;1;false;true;false;;;;
PRO-;Protein;2;1;true;false;true;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);71;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);3;1;false;true;false;;;;
RETOL;Retinol;72;1;false;true;false;;;;
RIBF;Riboflavin;50;1;false;true;false;2;;mg;
NACL;Salt;35;1;false;true;false;;;;
SE;Selenium;73;1;false;true;false;;;;
NA;Sodium, Na;34;1;true;false;true;;;;
FIBSOL;Soluble fiber;11;1;false;true;false;;;;
STARCH;Starch;74;1;false;true;false;;;;
SUGAR;Sugars total;6;2;true;false;false;;;;
THIA;Thiamin;53;1;false;true;false;1;;mg;
FAT;Total lipid (fat);12;1;true;false;true;;;;
FAPUN3F;Total omega 3 fatty acids;15;2;false;true;false;;;;
FATRN;Total trans fatty acids;14;2;false;true;false;;;;
TRP;Tryptophan;75;1;false;true;false;;;;
VITA-;Vitamin A;36;1;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;37;1;false;true;false;;;;
VITAA;Vitamin A, IU;38;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;39;1;false;true;false;;;;
VITB12;Vitamin B-12;40;1;false;true;false;1;;mcg;
VITB6-;Vitamin B-6;41;1;false;true;false;2;;mg;
BIOT;Vitamin B7 (Biotin);42;1;false;true;false;;;;
VITC-;Vitamin C, total ascorbic acid;43;1;false;true;false;60;;mg;
VITD-;VITAMIN D;44;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);45;1;false;true;false;;;;
VITE-;Vitamin E;46;1;false;true;false;;;;
TOCPHA;Vitamin E (alpha-tocopherol);47;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);48;1;false;true;false;;;;
VITK2;Vitamin K2;49;1;false;true;false;;;;
WATER;Water;84;1;false;true;false;;;;
ZN;Zinc, Zn;76;1;false;true;false;15;;mg;
