nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;18;3;true;false;false;50;;g;true
ALC;Alcohol (ethanol);58;1;false;true;false;;;;
CARTA;Alpha-Carot;59;1;false;true;false;;;;
ASH;Ash;60;1;false;true;false;;;;
CARTB;Beta-caroten;61;1;false;true;false;;;;
CRYPX;Beta-Crypt;62;1;false;true;false;;;;
CAFFN;Caffein;63;1;false;true;false;;;;
CA;Calcium, Ca;25;1;true;false;false;1300;2500;mg;true
CHOAVL;Carbohydrate, by difference;12;1;false;true;false;;;;
CHO-;Carbohydrate, by difference (with fiber);11;1;true;false;true;275;;g;true
CHOL-;Cholesterol;8;1;true;false;true;300;;mg;true
CHOLN;CholineTot;57;1;false;true;false;550;3500;mg;true
CR;Chromium;56;1;false;true;false;35;;µg;true
CU;Copper;54;1;false;true;false;0,9;10;mg;true
US_ENER-E14;Energy kcal;1;1;true;false;true;2000;;kcal;true
F10D0;FA 10:0, capric;64;1;false;true;false;;;;
F12D0;FA 12:0, lauric;65;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;66;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;67;1;false;true;false;;;;
F18D0;FA 18:0, stearic;68;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;69;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;70;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;71;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;72;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;73;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;74;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;75;1;false;true;false;;;;
F4D0;FA 4:0, butyric;76;1;false;true;false;;;;
F6D0;FA 6:0, caproic;77;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;78;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;4;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;5;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;3;2;true;false;false;20;;g;true
FIBTG;Fiber, total dietary;13;2;true;false;false;28;;g;true
FOLDFE;Folate DFE;42;1;false;true;false;;;;
FOLFD;Folate natural;43;1;false;true;false;;;;
FOLAC;Folic acid;44;1;false;true;false;;;;
FOL;Food folate;45;1;false;true;false;400;1000;µg;true
FIBINS;Insoluble fiber;14;1;false;true;false;;;g;
ID;Iodine;50;1;false;true;false;150;1100;µg;true
FE;Iron, Fe;26;1;true;false;false;18;45;mg;true
LYCPN;Lycopene;79;1;false;true;false;;;;
MG;Magnesium, Mg;51;1;false;true;false;420;;mg;true
MN;Manganese;55;1;false;true;false;2,3;11;mg;true
NIA;Niacin;39;1;false;true;false;16;35;mg;true
NIAEQ;Niacine (derived equivalents);40;1;false;true;false;;;;
PSACNS;NSP Fiber;15;1;false;true;false;;;;
OA;Organic acids, total;80;1;false;true;false;;;;
PANTAC;Panto acid;48;1;false;true;false;5;;mg;true
P;Phosphorus, P;49;1;false;true;false;1250;4000;mg;true
POLYL;Polyols total;19;2;false;true;false;;;g;
K;Potassium, k;27;1;true;false;false;4700;;mg;true
PRO-;Protein;21;1;true;false;true;50;;g;true
CARTBEQ;Provitamin A (b-carotene equivalents);81;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);22;1;false;true;false;;;;
RETOL;Retinol;82;1;false;true;false;;;;
RIBF;Riboflavin;38;1;false;true;false;1,3;;mg;true
NACL;Salt;10;1;false;true;false;;;;
SE;Selenium;53;1;false;true;false;55;400;µg;true
NA;Sodium, Na;9;1;true;false;true;2300;2300;mg;true
FIBSOL;Soluble fiber;16;1;false;true;false;;;;
STARCH;Starch;20;2;false;true;false;;;;
SUGAR;Total Sugars;17;2;true;false;false;;;g;
THIA;Thiamin;37;1;false;true;false;1,2;;mg;true
FAT;Total lipid (fat);2;1;true;false;true;78;;g;true
FAPUN3F;Total omega 3 fatty acids;7;2;false;true;false;;;;
FATRN;Total trans fatty acids;6;2;true;false;false;;;g;
TRP;Tryptophan;83;1;false;true;false;;;;
VITA-;Vitamin A;28;1;false;true;false;900;3000;µg;true
VITA;Vitamin A retinol equivalents;29;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;30;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;31;1;false;true;false;;;;
VITB12;Vitamin B-12;46;1;false;true;false;2,4;;µg;true
VITB6-;Vitamin B-6;41;1;false;true;false;1,7;100;mg;true
BIOT;Vitamin B7 (Biotin);47;1;false;true;false;30;;µg;true
VITC-;Vitamin C, total ascorbic acid;32;1;false;true;false;90;2000;mg;true
VITD-;VITAMIN D;23;1;true;false;false;20;100;µg;true
VITDEQ;Vitamin D (D2 + D3);24;1;false;true;false;;;;
VITE-;Vitamin E;33;1;false;true;false;15;1000;mg;true
TOCPHA;Vitamin E (alpha-tocopherol);34;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);35;1;false;true;false;120;;µg;true
VITK2;Vitamin K2;36;1;false;true;false;;;;
WATER;Water;84;1;false;true;false;;;;
ZN;Zinc, Zn;52;1;false;true;false;11;40;mg;true
