nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;8;2;false;true;false;;;;
ALC;Alcohol (ethanol);73;1;false;true;false;;;;
CARTA;Alpha-Carot;74;1;false;true;false;;;;
ASH;Ash;75;1;false;true;false;;;;
CARTB;Beta-caroten;76;1;false;true;false;;;;
CRYPX;Beta-Crypt;77;1;false;true;false;;;;
CAFFN;Caffein;78;1;false;true;false;;;;
CA;Calcium, Ca;54;1;false;true;false;1000;;mg;true
CHOAVL;Carbohydrate, by difference;5;1;true;false;false;;;;
CHO-;Carbohydrate, by difference (with fiber);6;1;false;true;false;;;;
CHOL-;Cholesterol;34;1;false;true;false;;;;
CHOLN;CholineTot;55;1;false;true;false;;;;
CR;Chromium;56;1;false;true;false;;;;
CU;Copper;57;1;false;true;false;0,9;;mg;true
ENER-E14;Energy kcal;1;1;true;false;false;2000;;kcal;true
ENER-KJO;Energy kJ;2;1;true;false;false;8400;;kJ;true
F10D0;FA 10:0, capric;15;2;false;true;false;;;;
F12D0;FA 12:0, lauric;16;2;false;true;false;;;;
F14D0;FA 14:0 , myristic;17;2;false;true;false;;;;
F16D0;FA 16:0, palmitic;18;2;false;true;false;;;;
F18D0;FA 18:0, stearic;19;2;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;20;2;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;21;2;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;22;2;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;23;2;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;24;2;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;25;2;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;26;2;false;true;false;;;;
F4D0;FA 4:0, butyric;27;2;false;true;false;;;;
F6D0;FA 6:0, caproic;28;2;false;true;false;;;;
F8D0;FA 8:0, caprylic;29;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;12;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;13;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;10;2;true;false;false;;;;
FIBTG;Fiber, total dietary;30;1;false;true;false;;;;
FOLDFE;Folate DFE;58;1;false;true;false;400;;mcg;true
FOLFD;Folate natural;59;1;false;true;false;;;;
FOLAC;Folic acid;60;1;false;true;false;;;;
FOL;Food folate;61;1;false;true;false;;;;
FIBINS;Insoluble fiber;31;1;false;true;false;;;;
ID;Iodine;62;1;false;true;false;150;;mcg;true
FE;Iron, Fe;63;1;false;true;false;14;22;mg;true
LYCPN;Lycopene;79;1;false;true;false;;;;
MG;Magnesium, Mg;64;1;false;true;false;310;;mg;true
MN;Manganese;65;1;false;true;false;3;;mg;true
NIA;Niacin;53;1;false;true;false;15;;mg;true
NIAEQ;Niacine (derived equivalents);66;1;false;true;false;;;;
PSACNS;NSP Fiber;32;1;false;true;false;;;;
OA;Organic acids, total;80;1;false;true;false;;;;
PANTAC;Panto acid;67;1;false;true;false;5;;mg;true
P;Phosphorus, P;68;1;false;true;false;700;;mg;true
POLYL;Polyols total;69;1;false;true;false;;;;
K;Potassium, k;70;1;false;true;false;;;;
PRO-;Protein;3;1;true;false;false;50;;g;true
CARTBEQ;Provitamin A (b-carotene equivalents);71;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);4;1;false;true;false;;;;
RETOL;Retinol;81;1;false;true;false;;;;
RIBF;Riboflavin;52;1;false;true;false;1,2;;mg;true
NACL;Salt;36;1;false;true;false;;;;
SE;Selenium;82;1;false;true;false;60;;mcg;true
NA;Sodium, Na;35;1;true;false;false;;;g;
FIBSOL;Soluble fiber;33;1;false;true;false;;;;
STARCH;Starch;83;1;false;true;false;;;;
SUGAR;Sugars total;7;2;true;false;false;;;;
THIA;Thiamin;51;1;false;true;false;1,2;;mg;true
FAT;Total lipid (fat);9;1;true;false;false;;;;
FAPUN3F;Total omega 3 fatty acids;14;2;false;true;false;;;;
FATRN;Total trans fatty acids;11;2;false;true;false;;;;
TRP;Tryptophan;84;1;false;true;false;;;;
VITA-;Vitamin A;37;1;false;true;false;;;;
VITA;Vitamin A retinol equivalents;38;1;false;true;false;800;;mcg;true
VITAA;Vitamin A, IU;39;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;40;1;false;true;false;800;;mcg;true
VITB12;Vitamin B-12;41;1;false;true;false;2,4;;mcg;true
VITB6-;Vitamin B-6;42;1;false;true;false;1,3;;mg;true
BIOT;Vitamin B7 (Biotin);43;1;false;true;false;30;;mcg;true
VITC-;Vitamin C, total ascorbic acid;44;1;false;true;false;100;;mg;true
VITD-;VITAMIN D;45;1;false;true;false;5;15;mcg;true
VITDEQ;Vitamin D (D2 + D3);46;1;false;true;false;;;;
VITE-;Vitamin E;47;1;false;true;false;9;;mg;true
TOCPHA;Vitamin E (alpha-tocopherol);48;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);49;1;false;true;false;60;;mcg;true
VITK2;Vitamin K2;50;1;false;true;false;;;;
WATER;Water;85;1;false;true;false;;;;
ZN;Zinc, Zn;72;1;false;true;false;11;14;mg;true
